year,month,category,units,revenue,avg_price
2011,3,Other,31697,57812.84,1.8239
2011,3,United Kingdom,304992,586230.28,1.9221
2011,4,EIRE,4135,7570.5,1.8308
2011,4,France,2287,5529.61,2.4178
2011,4,Germany,5764,12315.54,2.1366
2011,4,Netherlands,1768,2976.56,1.6836
2011,4,Other,18582,32898.65,1.7705
2011,4,United Kingdom,276279,476517.76,1.7248
2011,5,EIRE,8028,18008.76,2.2432
2011,5,France,9788,17614.88,1.7996
2011,5,Germany,12997,25751.2,1.9813
2011,5,Netherlands,19936,29185.88,1.464
2011,5,Other,23216,40660.94,1.7514
2011,5,United Kingdom,321773,639314.36,1.9868
2011,6,EIRE,12905,24863.61,1.9267
2011,6,France,9705,16348.41,1.6845
2011,6,Germany,7470,13274.1,1.777
2011,6,Netherlands,19744,26858.09,1.3603
2011,6,Other,34288,60885.02,1.7757
2011,6,United Kingdom,305101,619510.67,2.0305
2011,7,EIRE,22111,42789.85,1.9352
2011,7,France,5664,10000.19,1.7656
2011,7,Germany,9096,16440.98,1.8075
2011,7,Netherlands,10,26.02,2.602
2011,7,Other,30468,47969.31,1.5744
2011,7,United Kingdom,334410,601994.84,1.8002
2011,8,EIRE,10077,18353.75,1.8214
2011,8,France,7958,13810.96,1.7355
2011,8,Germany,9641,19220.77,1.9936
2011,8,Netherlands,29300,40327.81,1.3764
2011,8,Other,32036,59377.61,1.8535
2011,8,United Kingdom,332758,608047.48,1.8273
2011,9,EIRE,23086,43086.55,1.8663
2011,9,France,13002,23428.04,1.8019
2011,9,Germany,11156,18091.22,1.6217
2011,9,Netherlands,17309,26937.26,1.5563
2011,9,Other,27227,49970.63,1.8353
2011,9,United Kingdom,479040,897076.47,1.8727
2011,10,EIRE,15904,24317.92,1.529
2011,10,France,13807,33485.45,2.4253
2011,10,Germany,17740,31638.42,1.7835
2011,10,Netherlands,27230,40708.65,1.495
2011,10,Other,43087,85853.85,1.9926
2011,10,United Kingdom,505633,938975.01,1.857
2011,11,EIRE,16657,30738.43,1.8454
2011,11,France,17889,31758.71,1.7753
2011,11,Germany,13453,28025.02,2.0832
2011,11,Netherlands,18663,25874.01,1.3864
2011,11,Other,32853,67753.95,2.0623
2011,11,United Kingdom,654992,1325346.21,2.0235
2011,12,EIRE,4122,7340.89,1.7809
2011,12,France,3786,7294.92,1.9268
2011,12,Germany,4006,7984.17,1.9931
2011,12,Netherlands,7958,11728.02,1.4737
2011,12,Other,7111,11840.59,1.6651
2011,12,United Kingdom,287266,592622.09,2.063
